2024-12-29 20:25:18,771 - INFO - Episode done: Step: 360 | Action: 68 | Raw Reward: -7.17 | Scaled Reward: -0.8776 | Reward Compliance: -7.56 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.4528 | Compliance: 756.27 | Constraint: 0.49
2024-12-29 20:25:19,761 - INFO - Episode done: Step: 360 | Action: 38 | Raw Reward: -8.76 | Scaled Reward: -0.8976 | Reward Compliance: -7.76 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -1.40 | Reward Entropy: 0.29 | Total Reward: -0.4588 | Compliance: 775.62 | Constraint: 0.54
2024-12-29 20:25:20,650 - INFO - Episode done: Step: 360 | Action: 21 | Raw Reward: -3.25 | Scaled Reward: -0.7647 | Reward Compliance: -3.65 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.00 | Reward Entropy: 0.27 | Total Reward: -0.4168 | Compliance: 365.05 | Constraint: 0.48
2024-12-29 20:25:21,549 - INFO - Episode done: Step: 360 | Action: 17 | Raw Reward: -24.52 | Scaled Reward: -0.9608 | Reward Compliance: -23.86 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -1.05 | Reward Entropy: 0.28 | Total Reward: -0.4767 | Compliance: 2386.05 | Constraint: 0.53
2024-12-29 20:25:22,464 - INFO - Episode done: Step: 360 | Action: 11 | Raw Reward: -0.87 | Scaled Reward: -0.4660 | Reward Compliance: -1.27 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.27 | Total Reward: -0.2938 | Compliance: 126.72 | Constraint: 0.49
2024-12-29 20:25:23,397 - INFO - Episode done: Step: 360 | Action: 56 | Raw Reward: -4.85 | Scaled Reward: -0.8292 | Reward Compliance: -3.66 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -1.60 | Reward Entropy: 0.26 | Total Reward: -0.4816 | Compliance: 365.98 | Constraint: 0.54
2024-12-29 20:25:25,054 - INFO - Episode done: Step: 360 | Action: 7 | Raw Reward: -2.86 | Scaled Reward: -0.7411 | Reward Compliance: -2.02 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -1.25 | Reward Entropy: 0.26 | Total Reward: -0.4087 | Compliance: 201.53 | Constraint: 0.53
2024-12-29 20:25:26,109 - INFO - Episode done: Step: 360 | Action: 5 | Raw Reward: -1.61 | Scaled Reward: -0.6165 | Reward Compliance: -1.20 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.80 | Reward Entropy: 0.28 | Total Reward: -0.3616 | Compliance: 119.59 | Constraint: 0.52
2024-12-29 20:25:27,272 - INFO - Episode done: Step: 360 | Action: 63 | Raw Reward: -2.13 | Scaled Reward: -0.6808 | Reward Compliance: -2.02 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.50 | Reward Entropy: 0.29 | Total Reward: -0.3868 | Compliance: 202.19 | Constraint: 0.51
2024-12-29 20:25:28,464 - INFO - Episode done: Step: 360 | Action: 35 | Raw Reward: 46114.32 | Scaled Reward: 1.0000 | Reward Compliance: 46113.93 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: 0.5122 | Compliance: -4611393.50 | Constraint: 0.45
2024-12-29 20:25:29,616 - INFO - Episode done: Step: 360 | Action: 42 | Raw Reward: -24234.71 | Scaled Reward: -1.0000 | Reward Compliance: -24235.10 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.4872 | Compliance: 2423510.00 | Constraint: 0.46
2024-12-29 20:25:30,763 - INFO - Episode done: Step: 360 | Action: 57 | Raw Reward: -7.25 | Scaled Reward: -0.8788 | Reward Compliance: -7.64 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.00 | Reward Entropy: 0.29 | Total Reward: -0.4532 | Compliance: 764.07 | Constraint: 0.50
2024-12-29 20:25:31,985 - INFO - Episode done: Step: 360 | Action: 48 | Raw Reward: -2.99 | Scaled Reward: -0.7494 | Reward Compliance: -2.24 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -1.15 | Reward Entropy: 0.26 | Total Reward: -0.4116 | Compliance: 223.94 | Constraint: 0.53
2024-12-29 20:25:33,119 - INFO - Episode done: Step: 360 | Action: 65 | Raw Reward: -5.30 | Scaled Reward: -0.8412 | Reward Compliance: -3.64 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -2.05 | Reward Entropy: 0.28 | Total Reward: -0.4417 | Compliance: 363.63 | Constraint: 0.56
