episode,timestep,reward
1471,529920,-109.3642
1473,530640,-109.3642
1475,531360,-109.3642
1477,532080,-109.3642
1479,532800,-109.3642
1481,533520,-109.3642
1483,534240,-109.3642
1485,534960,-109.3642
1487,535680,-109.3642
1489,536400,-109.3642
1491,537120,-109.3642
1493,537840,-109.3642
1495,538560,-109.3642
1497,539280,-109.3642
1499,540000,-109.3642
1501,540720,-109.3642
1503,541440,-109.3642
1505,542160,-109.3642
1507,542880,-109.3642
1509,543600,-109.3642
1511,544320,-109.3642
1513,545040,-109.3642
1515,545760,-109.3642
1517,546480,-109.3642
1519,547200,-109.3642
1521,547920,-109.3642
1523,548640,-109.3642
1525,549360,-109.3642
1527,550080,-109.3642
1529,550800,-109.3642
1531,551520,-109.3642
1533,552240,-109.3642
1535,552960,-109.3642
1537,553680,-109.3642
1539,554400,-109.3642
1541,555120,-109.3642
1543,555840,-109.3642
1545,556560,-109.3642
1547,557280,-109.3642
1549,558000,-109.3642
1551,558720,-109.3642
1553,559440,-109.3642
1555,560160,-109.3642
1557,560880,-109.3642
1559,561600,-109.3642
1561,562320,-109.3642
1563,563040,-109.3642
1565,563760,-109.3642
1567,564480,-109.3642
1569,565200,-109.3642
1571,565920,-109.3642
1573,566640,-109.3642
1575,567360,-109.3642
1577,568080,-109.3642
1579,568800,-109.3642
1581,569520,-109.3642
1583,570240,-109.3642
1585,570960,-109.3642
1587,571680,-109.3642
1589,572400,-109.3642
1591,573120,-109.3642
1593,573840,-109.3642
1595,574560,-109.3642
1597,575280,-109.3642
1599,576000,-109.3642
1601,576720,-109.3642
1603,577440,-109.3642
1605,578160,-109.3642
1607,578880,-109.3642
1609,579600,-109.3642
1611,580320,-109.3642
1613,581040,-109.3642
1615,581760,-109.3642
1617,582480,-109.3642
1619,583200,-109.3642
1621,583920,-109.3642
1623,584640,-109.3642
1625,585360,-109.3642
1627,586080,-109.3642
1629,586800,-109.3642
1631,587520,-109.3642
1633,588240,-109.3642
1635,588960,-109.3642
1637,589680,-109.3642
1639,590400,-109.3642
1641,591120,-109.3642
1643,591840,-109.3642
1645,592560,-109.3642
1647,593280,-109.3642
1649,594000,-109.3642
1651,594720,-109.3642
1653,595440,-109.3642
1655,596160,-109.3642
1657,596880,-109.3642
1659,597600,-109.3642
1661,598320,-109.3642
1663,599040,-109.3642
1665,599760,-109.3642
1667,600480,-109.3642
1669,601200,-109.3642
1671,601920,-109.3642
1673,602640,-109.3642
1675,603360,-109.3642
1677,604080,-109.3642
1679,604800,-109.3642
1681,605520,-109.3642
1683,606240,-109.3642
1685,606960,-109.3642
1687,607680,-109.3642
1689,608400,-109.3642
1691,609120,-109.3642
1693,609840,-109.3642
1695,610560,-109.3642
1697,611280,-109.3642
1699,612000,-109.3642
1701,612720,-109.3642
1703,613440,-109.3642
1705,614160,-109.3642
1707,614880,-109.3642
1709,615600,-109.3642
1711,616320,-109.3642
1713,617040,-109.3642
1715,617760,-109.3642
1717,618480,-109.3642
1719,619200,-109.3642
1721,619920,-109.3642
1723,620640,-109.3642
1725,621360,-109.3642
1727,622080,-109.3642
1729,622800,-109.3642
1731,623520,-109.3642
1733,624240,-109.3642
1735,624960,-109.3642
1737,625680,-109.3642
1739,626400,-109.3642
1741,627120,-109.3642
1743,627840,-109.3642
1745,628560,-109.3654
1747,629280,-109.3642
1749,630000,-109.3642
1751,630720,-109.3642
1753,631440,-109.3642
1755,632160,-109.3642
1757,632880,-109.3642
1759,633600,-109.3642
1761,634320,-109.3642
1763,635040,-109.3642
1765,635760,-109.3642
1767,636480,-109.3642
1769,637200,-109.3642
1771,637920,-109.3642
1773,638640,-109.3642
1775,639360,-109.3642
1777,640080,-109.3642
1779,640800,-109.3642
1781,641520,-109.3642
1783,642240,-109.3642
1785,642960,-109.3642
1787,643680,-109.3642
1789,644400,-109.3642
1791,645120,-109.3642
1793,645840,-109.3642
1795,646560,-109.3642
1797,647280,-109.3642
1799,648000,-109.3642
1801,648720,-109.3642
1803,649440,-109.3642
1805,650160,-109.3642
1807,650880,-109.3642
1809,651600,-109.3642
1811,652320,-109.3642
1813,653040,-109.3642
1815,653760,-109.3642
1817,654480,-109.3642
1819,655200,-109.3642
1821,655920,-109.3642
1823,656640,-109.3642
1825,657360,-109.3642
1827,658080,-109.3642
1829,658800,-109.3642
1831,659520,-109.3642
1833,660240,-109.3642
1835,660960,-109.3642
1837,661680,-109.3642
1839,662400,-109.3642
1841,663120,-109.3642
1843,663840,-109.3642
1845,664560,-109.3642
1847,665280,-109.3642
